skill_match_ratio,tfidf_similarity,semantic_similarity,final_score,candidate,job_description
0.417,0.432,0.727,0.546,Resume_01.pdf.txt,jd_1.txt
0.0,0.028,0.357,0.151,Resume_05.pdf.txt,jd_1.txt
0.0,0.046,0.339,0.149,Resume_08.docx.txt,jd_1.txt
0.0,0.063,0.28,0.131,Resume_02.pdf.txt,jd_1.txt
0.0,0.047,0.269,0.122,Resume_07.docx.txt,jd_1.txt
0.0,0.026,0.263,0.113,Resume_09.docx.txt,jd_1.txt
0.0,0.019,0.235,0.1,Resume_03.pdf.txt,jd_1.txt
0.0,0.015,0.221,0.093,Resume_10.docx.txt,jd_1.txt
0.0,0.018,0.172,0.074,Resume_06.docx.txt,jd_1.txt
0.0,0.024,0.056,0.029,Resume_04.pdf.txt,jd_1.txt
0.4,0.207,0.667,0.449,Resume_05.pdf.txt,jd_2.txt
0.2,0.142,0.542,0.319,Resume_08.docx.txt,jd_2.txt
0.133,0.085,0.472,0.255,Resume_07.docx.txt,jd_2.txt
0.067,0.089,0.432,0.219,Resume_01.pdf.txt,jd_2.txt
0.067,0.059,0.391,0.194,Resume_03.pdf.txt,jd_2.txt
0.067,0.049,0.222,0.124,Resume_09.docx.txt,jd_2.txt
0.067,0.045,0.211,0.118,Resume_06.docx.txt,jd_2.txt
0.0,0.049,0.214,0.1,Resume_02.pdf.txt,jd_2.txt
0.0,0.016,0.195,0.083,Resume_10.docx.txt,jd_2.txt
0.0,0.04,0.162,0.077,Resume_04.pdf.txt,jd_2.txt
0.733,0.218,0.62,0.533,Resume_10.docx.txt,jd_3.txt
0.533,0.252,0.615,0.481,Resume_06.docx.txt,jd_3.txt
0.333,0.281,0.646,0.443,Resume_09.docx.txt,jd_3.txt
0.0,0.02,0.429,0.178,Resume_05.pdf.txt,jd_3.txt
0.0,0.036,0.408,0.174,Resume_01.pdf.txt,jd_3.txt
0.0,0.04,0.406,0.174,Resume_07.docx.txt,jd_3.txt
0.0,0.023,0.393,0.164,Resume_08.docx.txt,jd_3.txt
0.0,0.036,0.368,0.158,Resume_03.pdf.txt,jd_3.txt
0.067,0.054,0.267,0.143,Resume_02.pdf.txt,jd_3.txt
0.0,0.046,0.303,0.135,Resume_04.pdf.txt,jd_3.txt
